dt,train,n,p_pass,ev_mean,real_all,real_pass
2026-05-04,1,45496,0.058246878846491996,-0.07313328903760277,-0.07299946248531342,0.06994754076004028
2026-05-05,1,62203,0.06737617156728776,-0.0472768899780159,-0.07685060799121857,0.028581930324435234
2026-05-06,1,80195,0.06780971382255752,-0.04151569816289705,-0.0176931731402874,0.009231574833393097
2026-05-07,1,74367,0.05716245108717576,-0.042201651471363885,-0.03288031741976738,0.009227795526385307
2026-05-08,1,73399,0.08072317061540348,-0.05170086197768198,-0.027687326073646545,0.02417990379035473
2026-05-09,1,3450,0.1307246376811594,-0.055951419252481004,0.08549682796001434,0.10711037367582321
2026-05-10,1,11196,0.08699535548410146,-0.0557555045063283,0.0029423050582408905,0.03814008831977844
2026-05-11,1,84802,0.09491521426381454,-0.051861006425443376,-0.07768918573856354,-0.013241699896752834
2026-05-12,1,81495,0.05439597521320327,-0.05119680823606293,-0.07119176536798477,0.013256463222205639
2026-05-13,1,71215,0.039809028996700135,-0.06850223860738007,-0.07378538697957993,0.02588234469294548
2026-05-14,1,91599,0.0343999388639614,-0.06555746599784161,-0.02894291840493679,0.00970466248691082
2026-05-15,1,109123,0.027537732650312032,-0.05576316307671664,-0.006775277201086283,0.017180096358060837
2026-05-16,1,7844,0.026899541050484446,-0.08280147326869758,-0.06917690485715866,0.02496226504445076
2026-05-17,1,14704,0.03720076169749728,-0.06186938106606516,-0.06018383055925369,-0.02496434934437275
2026-05-18,1,119636,0.036736433849343005,-0.05916254648833619,-0.02499241754412651,0.0035133014898747206
2026-05-19,1,113795,0.01953512895997188,-0.05797583409180159,-0.027076631784439087,-0.008179262280464172
2026-05-20,1,100565,0.017849152289563963,-0.06017789777375549,-0.03706040233373642,-0.0018021262949332595
2026-05-21,1,98933,0.011502734173632661,-0.06158612077196148,-0.028653718531131744,0.028230059891939163
2026-05-22,1,68286,0.01104179480420584,-0.0759335593832224,-0.02001388929784298,-0.016749855130910873
2026-05-23,1,15960,0.028383458646616542,-0.08629811870832038,-0.06214357540011406,-0.019772939383983612
