ts,open,high,low,close,volume,dtm,symbol
1777248000,220000.0,223000.0,218500.0,222500.0,0,2026-04-27T00:00:00.000000,005930.KS
1777251600,222750.0,224000.0,220500.0,223250.0,3357179,2026-04-27T01:00:00.000000,005930.KS
1777255200,223250.0,226000.0,223000.0,224500.0,3784306,2026-04-27T02:00:00.000000,005930.KS
1777258800,225000.0,225500.0,224000.0,225500.0,2002366,2026-04-27T03:00:00.000000,005930.KS
1777262400,225250.0,226000.0,224000.0,225000.0,2809534,2026-04-27T04:00:00.000000,005930.KS
1777266000,224750.0,225500.0,223000.0,223500.0,2627120,2026-04-27T05:00:00.000000,005930.KS
1777269600,223750.0,224500.0,222500.0,224500.0,0,2026-04-27T06:00:00.000000,005930.KS
1777334400,224000.0,226000.0,221500.0,225250.0,5181865,2026-04-28T00:00:00.000000,005930.KS
1777338000,225500.0,226000.0,222500.0,222500.0,3172096,2026-04-28T01:00:00.000000,005930.KS
1777341600,222500.0,223500.0,221500.0,221750.0,2463572,2026-04-28T02:00:00.000000,005930.KS
1777345200,221750.0,224000.0,221500.0,223000.0,1537545,2026-04-28T03:00:00.000000,005930.KS
1777348800,223000.0,223500.0,222500.0,223250.0,1634927,2026-04-28T04:00:00.000000,005930.KS
1777352400,223000.0,223500.0,222000.0,223000.0,2090909,2026-04-28T05:00:00.000000,005930.KS
1777356000,223000.0,223000.0,222000.0,222000.0,0,2026-04-28T06:00:00.000000,005930.KS
1777420800,219500.0,222000.0,218500.0,221000.0,3781990,2026-04-29T00:00:00.000000,005930.KS
1777424400,220500.0,221000.0,218500.0,221000.0,2217142,2026-04-29T01:00:00.000000,005930.KS
1777428000,220750.0,221000.0,219500.0,220000.0,1487274,2026-04-29T02:00:00.000000,005930.KS
1777431600,220000.0,222000.0,220000.0,221250.0,1640929,2026-04-29T03:00:00.000000,005930.KS
1777435200,221250.0,228000.0,221000.0,226500.0,5708725,2026-04-29T04:00:00.000000,005930.KS
1777438800,226500.0,227500.0,224500.0,226750.0,3165920,2026-04-29T05:00:00.000000,005930.KS
1777442400,226750.0,227000.0,224500.0,226000.0,0,2026-04-29T06:00:00.000000,005930.KS
1777507200,228500.0,230000.0,225500.0,226500.0,6079412,2026-04-30T00:00:00.000000,005930.KS
1777510800,226250.0,227000.0,224500.0,226500.0,2156831,2026-04-30T01:00:00.000000,005930.KS
1777514400,226750.0,227000.0,224000.0,224500.0,1916674,2026-04-30T02:00:00.000000,005930.KS
1777518000,224500.0,225500.0,224000.0,224750.0,1149639,2026-04-30T03:00:00.000000,005930.KS
1777521600,225000.0,225000.0,221000.0,222000.0,2836252,2026-04-30T04:00:00.000000,005930.KS
1777525200,221750.0,224000.0,221750.0,223000.0,2053040,2026-04-30T05:00:00.000000,005930.KS
1777528800,223000.0,223000.0,220500.0,220500.0,9102706,2026-04-30T06:00:00.000000,005930.KS
1777852800,228000.0,228000.0,224000.0,225250.0,0,2026-05-04T00:00:00.000000,005930.KS
1777856400,225250.0,229000.0,224500.0,228250.0,5120088,2026-05-04T01:00:00.000000,005930.KS
